company,layer,sub_segment,listing_status,ticker,country,mkt_cap_usd_bn,debt_usd_bn,leased_usd_bn,ev_usd_bn,total_revenue_2026e_consensus_bn,total_revenue_2026e_itk_bn,ai_revenue_2026e_consensus_bn,ai_revenue_2026e_itk_bn,performance_3m_pct,performance_12m_pct,source,notes
Nvidia,chip,GPU_accelerator,listed,NASDAQ:NVDA,USA,5457.4,11.4,,5424.1,372.5,372.5,,285.0,21.8,66.4,Yahoo Finance 2026-05-16,DC ~$285bn CY2026e; $100bn staged equity into OpenAI
AMD,chip,GPU_accelerator,listed,NASDAQ:AMD,USA,691.5,3.9,,683.1,49.3,49.3,,11.0,108.8,262.0,Yahoo Finance 2026-05-16,MI300/MI400 Instinct; $90bn warrants from xAI deal
Broadcom,chip,custom_silicon,listed,NASDAQ:AVGO,USA,2013.1,66.1,,2065.0,104.3,104.3,,40.0,28.1,87.5,Yahoo Finance 2026-05-16,Custom AI accelerators for hyperscalers; $350bn OpenAI commit (Tunguz)
TSMC,chip,foundry,listed,NYSE:TSM,Taiwan,1814.9,31.4,,1743.1,159.0,159.0,,97.0,11.3,110.8,Yahoo Finance 2026-05-16 via 2330.TW (mc/debt/EV); revenue $159bn from TSMC Q1 2026 call 16-Apr-2026 (>30% USD FY26 growth on $122.4bn FY25 base); AI = HPC 61% × $159bn ≈ $97bn,Foundry for Nvidia/AMD/Broadcom; binding capacity constraint per Stratechery
SK Hynix,chip,HBM_memory,listed,KRX:000660,South Korea,929.7,13.9,,898.1,239.1,239.1,,17.0,103.8,812.5,Yahoo Finance 2026-05-16,Leading HBM3E/HBM4 supplier
Samsung Electronics,chip,HBM_memory_foundry,listed,KRX:005930,South Korea,1278.9,20.3,,1205.4,480.1,480.1,,10.0,42.7,380.4,Yahoo Finance 2026-05-16,HBM + foundry; trailing SK Hynix in HBM4
Micron Technology,chip,HBM_memory,listed,NASDAQ:MU,USA,817.2,10.8,,813.4,109.3,109.3,,7.0,81.3,641.2,Yahoo Finance 2026-05-16,HBM supplier (third of the big-3)
Marvell Technology,chip,custom_silicon,listed,NASDAQ:MRVL,USA,154.9,4.8,,156.8,10.8,10.8,,5.0,124.0,178.2,Yahoo Finance 2026-05-16,DC custom silicon + AEC ramp
Astera Labs,chip,networking_silicon,listed,NASDAQ:ALAB,USA,39.9,0.0,,38.7,1.5,1.5,,1.4,88.1,156.9,Yahoo Finance 2026-05-16,Aries retimers; AI DC networking; $1.4bn run-rate
Intel,chip,GPU_accelerator,listed,NASDAQ:INTC,USA,546.7,45.0,,572.5,58.6,58.6,,1.0,135.5,402.2,Yahoo Finance 2026-05-16,Gaudi accelerators; lagging Nvidia structurally
Microsoft,infra,hyperscaler,listed,NASDAQ:MSFT,USA,3134.2,125.4,166.0,3181.4,329.5,329.5,,50.0,6.6,-6.6,Yahoo Finance 2026-05-16  |  leased: ITK est. Moodys Feb 2026 Big-5 OBS $662bn split by 2026 capex share (190/760); supersedes Hyperion-only figure,Azure; $37bn AI run-rate Q3 FY26; restructured OpenAI deal Apr 2026
Alphabet,infra,hyperscaler,listed,NASDAQ:GOOGL,USA,4807.2,95.9,161.0,4776.4,486.7,486.7,,38.0,31.5,139.6,Yahoo Finance 2026-05-16  |  leased: ITK est. Moodys Feb 2026 Big-5 OBS $662bn split by 2026 capex share (185/760); supersedes Hyperion-only figure,GCP +63% YoY Q1 2026; owns DeepMind; $20bn equity in Anthropic
Amazon,infra,hyperscaler,listed,NASDAQ:AMZN,USA,2841.4,235.5,174.0,2933.8,822.5,822.5,,28.0,31.3,28.5,Yahoo Finance 2026-05-16  |  leased: ITK est. Moodys Feb 2026 Big-5 OBS $662bn split by 2026 capex share (200/760); supersedes Hyperion-only figure,AWS Q1 2026 +28%; FCF –95%; $25bn equity in Anthropic
