payer,recipient,flow_type,amount_usd_bn,amount_low_bn,amount_high_bn,term_years,signed_date,status,source_key,notes
Microsoft,OpenAI,equity,13,,,,2023-01-01,signed,widely_reported,"Initial Microsoft equity pre-2025; retained through 27 April 2026 restructure"
OpenAI,Microsoft,compute,250,,,7,2025-01-01,reported,tunguz_openai_20251103,"Azure commitment 2025-2031 per Tunguz aggregated leaks; pre-27-Apr-2026 restructure; $ commitment likely intact though exclusivity removed"
OpenAI,Oracle,compute,300,,,5,2026-01-01,signed,economist_20260513,"Stargate; 2027-2032; 4.5GW; 2m+ Blackwell chips"
OpenAI,CoreWeave,compute,28.9,,,,2026-01-01,signed,findings_20260516,"$22.4bn cumulative + $6.5bn expansion"
OpenAI,Amazon,compute,138,,,7,2026-04-01,signed,amazon_q1_2026,"$100bn fresh commitment + $38bn existing as of AWS Q1 2026 (Tunguz Nov 2025 baseline was $38bn over 2025-2031)"
OpenAI,Broadcom,compute,350,,,7,2025-10-01,reported,tunguz_openai_20251103,"Custom AI accelerator chip design & manufacturing 2026-2032 per Tunguz aggregated leaks"
OpenAI,AMD,compute,90,,,,2025-10-06,signed,tunguz_openai_20251103,"6 GW GPU hardware (MI400/MI450 series) with equity warrants for OpenAI; announced Oct 2025"
Nvidia,OpenAI,equity,100,,,,2025-09-01,signed,tunguz_openai_20251103,"Non-voting equity + chip purchase commitment bundled; $100bn total program across tranches; first $30bn drawn Feb 2026"
Amazon,Anthropic,equity,25,,,,2026-04-20,signed,saastr_anthropic_amazon,"Latest tranche; total Amazon-Anthropic equity ~$33bn cumulative"
Anthropic,Amazon,compute,100,,,10,2026-04-20,signed,saastr_anthropic_amazon,"5GW Trainium 2/3 over 10 years"
Alphabet,Anthropic,equity,20,10,40,,2026-04-24,signed,saastr_anthropic_google,"$10bn upfront + up to $30bn milestone; $350bn post-money valuation"
Anthropic,Alphabet,compute,,,,,2026-04-24,signed,saastr_anthropic_google,"5GW TPU reserved; dollar amount not disclosed"
Meta,CoreWeave,compute,35.2,,,6,2026-01-01,signed,findings_20260516,"$14.2bn original + $21bn expansion through 2032"
Meta,Meta Hyperion SPV,lease,27.3,,,24,2025-10-01,signed,dcd_hyperion_20251000,"Lease obligation against Beignet Investor SPV; PV approximate"
Bond market,Meta Hyperion SPV,debt,27.3,,,24,2025-10-01,signed,dcd_hyperion_20251000,"144A bonds; A+; T+225bp; 2049 maturity; Blue Owl 80% / Meta 20% equity in SPV"
Bond market,Meta,debt,30,,,,2025-10-01,signed,fortune_bonds_20260307,"Largest non-M&A high-grade single deal in IG history"
Bond market,Oracle,debt,18,,,,2025-09-01,signed,fortune_bonds_20260307,"Single IG issuance Sept 2025"
Bond market,Alphabet,debt,17.5,,,,2025-11-01,signed,fortune_bonds_20260307,"Single IG issuance Nov 2025"
Bond market,Amazon,debt,15,,,,2025-01-01,signed,fortune_bonds_20260307,"Single IG issuance 2025"
Bond market,Alphabet,debt,3,,,75,2026-02-01,signed,fortune_bonds_20260307,"100-year bond; first tech century bond in decades; size approximate"
Apollo+Blackstone,Broadcom,debt,35,,,,2026-05-08,reported,bloomberg_apollo_broadcom_20260508,"Forming private-credit financing per Bloomberg 8 May 2026"
Series C investors,xAI,equity,6,,,,2024-12-23,signed,xai_seriesc_20241223,"Series C aggregate $6bn @ $50bn val; 97 investors per SEC filing incl a16z BlackRock Fidelity Kingdom Holdings Lightspeed MGX Morgan Stanley OIA QIA Sequoia Valor Vy Capital + Nvidia/AMD strategic; individual amounts not disclosed"
Bond market,xAI,debt,5,,,,2025-06-30,signed,morganstanley_xai_debt_20250630,"$3bn secured notes 12.5%; $1bn fixed term loan 12.5%; $1bn SOFR+725 floating; arranged by Morgan Stanley; oversubscribed 1.5x"
Series D investors,xAI,equity,5,,,,2025-07-01,signed,techcrunch_xai_20250701,"Strategic equity round closed alongside $5bn debt; ~$75bn pre-money valuation; SpaceX put in $2bn (WSJ); other investors not disclosed"
SpaceX,xAI,equity,2,,,,2025-07-12,signed,wsj_spacex_xai_20250712,"SpaceX equity contribution to the $5bn Jul-2025 strategic round (WSJ-sourced; not officially confirmed by either party at time)"
Sept 2025 investors,xAI,equity,10,,,,2025-09-19,reported,bloomberg_xai_20250919,"$200bn val raise; Valor Capital QIA Kingdom Holdings (Prince Al Waleed) participating; Bloomberg/CNBC reporting; some sources frame as $15bn target landed at $10bn"
